Time,Grumps,MasaeAnela,AnzaTNT,Kobs
0,100.0,100.0,100.0,100.0
1,118.7,124.2,127.4,120.1
2,157.2,156.5,167.7,215.6
3,182.8,203.4,253.6,281.0
4,236.9,264.1,298.6,312.9
5,308.1,326.6,374.0,437.8
6,360.3,419.4,506.1,584.4
7,559.0,590.1,685.4,714.1
8,677.2,810.3,910.6,881.1
9,804.0,936.3,1125.2,1095.2
10,920.4,1084.1,1492.3,1185.3
11,1057.6,1090.8,2213.2,1300.6
12,1127.7,1508.0,3392.5,1706.4
13,1160.2,1819.1,4317.0,2208.2
14,1423.5,2379.7,7869.3,3491.5
15,1757.2,4194.6,10410.6,5052.8
16,2735.7,6984.0,12130.4,7551.7
17,3320.7,8617.3,12942.8,9210.1
18,4270.9,9610.7,19290.9,13786.1
19,7099.6,11719.7,24909.9,18691.2
20,10609.9,17429.8,30586.3,23133.0
21,11652.3,21443.8,49926.6,26834.8
22,17109.3,25640.1,63085.7,43369.7
23,21100.1,40128.6,72945.5,58765.8
24,26521.7,63075.2,82627.6,68629.6
25,32821.9,76272.4,85194.0,78425.9
