DATE,MARY_M,JESSICA_M,OLIVIA_M,JOHN_M,MICHAEL_M,ETHAN_M,LESLIE_M,TAYLOR_M,QUINN_M,CHRISTINE_M,CHRIS_M,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_M,CHRISTY_M,CHRISTIE_M,CHRISTINA_M,KRISTY_M,KRISTINE_M,KRISTOPHER_M,CHRISTIANA_M,KRISTINA_M,KRIS_M,MARY_F,JESSICA_F,OLIVIA_F,JOHN_F,MICHAEL_F,ETHAN_F,LESLIE_F,TAYLOR_F,QUINN_F,CHRISTINE_F,CHRIS_F,CHRISTOPHER_F,CHRISTIAN_F,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_F,CHRISTIANA_F,KRISTINA_F,KRIS_F
1916,0,0,0,396,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
1917,0,0,0,325,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1918,0,0,0,318,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0
1919,0,0,0,354,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0
1920,0,0,0,473,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0
1921,0,0,0,457,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1922,8,0,0,392,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0
1923,0,0,0,377,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1924,0,0,0,356,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0
1925,0,0,0,378,12,0,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0
