Year,F,M
1916,22.93699470309451,33.00951625693894
1917,23.31913599026468,31.32463204665371
1918,21.980786825251602,30.642434488588336
1919,21.90766550522648,31.798069187449713
1920,21.36198028289756,30.879730532989896
1921,21.887096774193544,32.399881046788266
1922,21.743772241992886,31.522446324007806
1923,21.296978629329406,31.537340210809596
1924,21.285289747399702,31.041524846834577
1925,20.391128070593847,31.87039928619228
1926,20.94781951096547,31.4455355103905
1927,20.304787759131294,30.20146088595665
1928,20.69386331938633,31.254319281271595
1929,20.462675888385405,30.836468245186992
1930,21.614282412757106,31.538787621873677
1931,21.782608695652176,31.817134960847536
1932,21.02678571428572,33.08980755523878
1933,22.32490272373541,31.493263473053887
1934,22.493920562010267,31.56846172422121
1935,22.833678220382826,31.26174812030075
1936,22.081688055281347,30.77643171806168
1937,20.68020999771742,32.22891566265059
1938,19.653423499577343,31.47434692726931
1939,20.04731861198738,30.465681690667665
1940,18.827716705712742,30.13963395392868
1941,19.3950896462607,30.402103080568715
1942,19.90936997514983,30.94251848075453
1943,20.230326295585414,30.836236933797906
1944,20.49480169426261,29.738861527889135
1945,20.420168067226893,29.386464623447647
1946,20.45599659465787,29.79894335192251
1947,21.146768402154393,29.55575335814857
1948,21.614368290668867,28.804259138381198
1949,21.17929423975091,28.139717425431712
1950,19.42586641188222,27.714161185513905
1951,18.434661957618566,27.071412222476532
1952,18.203824739772454,26.103229485991307
1953,17.416235664492916,26.06949186583651
1954,18.08990398603433,25.54481376099327
1955,17.260387239027082,25.461762287304698
1956,16.960018085518666,24.261289169546053
1957,16.21793705657631,23.540818034707886
1958,15.364181408049387,23.28906631904839
1959,15.389737215909088,22.491549069056177
1960,14.957404011122286,21.959441594838985
1961,14.139419544452608,21.985273687135315
1962,13.675464019239072,21.418941691944728
1963,13.705632103625625,21.848775475252612
1964,13.63087653410234,22.18473847623597
1965,13.894872899612237,21.842633350595545
1966,13.391645302367667,21.92129784809278
1967,12.584869059165857,21.234254435138162
1968,13.327796234772975,21.594877764842842
1969,13.046462513199575,20.82306175274251
1970,13.474104133709336,21.730962664931067
1971,13.605140704631067,21.44415633695927
1972,14.237062264011257,21.042920955525346
1973,14.325906344410878,20.87872424202651
1974,14.884904825143868,20.595238095238095
1975,14.706304238686077,21.03977669225401
1976,14.823189265327304,20.017405063291143
1977,14.60890405984458,20.78357978098125
1978,14.705778593099556,20.384521335126543
1979,15.599959598680226,20.29719041435486
1980,15.518237862830722,19.70716264345073
1981,15.953875800335673,19.68647764449291
1982,15.233523140295613,19.779964959290943
1983,16.083905643475664,19.19891640866873
1984,16.240641085634067,18.900378310214375
1985,16.159367617663094,18.25253722116326
1986,16.29728223859345,18.366442953020133
1987,16.360282525067795,17.32612934676633
1988,15.650731227725208,16.459032103497844
1989,14.626218851570965,15.28075495373033
1990,14.676848034376633,15.317911800241644
1991,14.009392427355444,14.965727341964968
1992,13.083173160929583,14.516990538203277
1993,12.677310226126181,13.919889925087908
1994,12.261193588454486,13.61230148726998
1995,11.164916727009413,12.597087378640776
1996,11.284861170965954,12.100607340903089
1997,11.60395408163265,12.640590200445434
1998,11.518567639257293,12.263959684893422
1999,11.363954628203333,11.882716049382717
2000,11.255958399537775,12.111743596089596
2001,10.982142857142856,11.82004470938897
2002,10.834454912516826,11.59116506069328
2003,10.966824294369736,11.26403247288641
2004,10.361252241482365,11.102459797877072
2005,10.085923217550274,10.56829035339064
2006,10.283135150812065,10.142732213130113
2007,10.16298633017876,9.766410408042576
2008,9.647431483266768,9.351346593909524
2009,9.897063786702665,9.566787003610107
2010,10.01401050788091,9.750576957216403
2011,9.959434158518828,9.551971326164875
2012,9.85935106531124,9.363295880149813
2013,9.46948778130609,9.637502258083938
2014,9.202329360780064,8.875791185180882
2015,9.08313376667807,8.428209060877773
Total,7.524083454966943,15.249037930444647
