Length,Count,Proportion
4,1121,0.684835266878043
5,1012,0.618245575451008
6,1056,0.645125817861921
7,1287,0.786247090519216
8,1381,0.843673062942531
9,1577,0.963412324591145
10,1609,0.982961591799082
11,1635,0.998845371405531
12,1697,1.03672207662091
13,1708,1.04344213722364
14,1695,1.03550024742041
15,1760,1.07520969643654
16,1673,1.02206012621496
17,1720,1.05077311242661
18,1612,0.984794335599827
19,1706,1.04222030802314
20,1668,1.01900555321372
21,1611,0.984183420999578
22,1616,0.987237994000819
23,1645,1.00495451740801
24,1669,1.01961646781396
25,1530,0.934699338379488
26,1545,0.943863057383208
27,1477,0.902320864566342
28,1503,0.918204644172791
29,1527,0.932866594578744
30,1431,0.874218792954933
31,1501,0.916982814972295
32,1596,0.975019701995858
33,1507,0.920648302573783
34,1498,0.915150071171551
35,1462,0.893157145562622
36,1490,0.910262754369567
37,1487,0.908430010568823
38,1312,0.801519955525417
39,1418,0.866276903151708
40,1497,0.914539156571303
41,1420,0.867498732352204
42,1427,0.871775134553941
43,1468,0.89682263316411
44,1304,0.796632638723433
45,1388,0.847949465144267
46,1333,0.814349162130626
47,1278,0.780748859116984
48,1263,0.771585140113264
49,1218,0.744093983102102
50,1187,0.725155630494413
51,1225,0.748370385303838
52,1145,0.699497217283996
53,1122,0.685446181478291
54,1093,0.667729658071098
55,1127,0.688500754479531
56,1036,0.63290752585696
57,997,0.609081856447287
58,1094,0.668340572671346
59,981,0.599307222843319
60,1017,0.621300148452248
61,989,0.604194539645303
62,1011,0.61763466085076
63,968,0.591365333040094
64,994,0.607249112646543
65,990,0.604805454245551
66,942,0.575481553433646
67,1091,0.666507828870602
68,918,0.560819603027693
69,903,0.551655884023972
70,841,0.513779178808594
71,900,0.549823140223228
72,890,0.543713994220748
73,892,0.544935823421244
74,1227,0.749592214504334
75,816,0.498506313802394
76,982,0.599918137443567
77,805,0.491786253199665
78,834,0.509502776606858
79,801,0.489342594798673
80,820,0.500949972203386
81,828,0.50583728900537
82,803,0.490564423999169
83,817,0.499117228402642
84,738,0.450854974983047
85,764,0.466738754589496
86,744,0.454520462584535
87,748,0.456964120985527
88,652,0.398316319361716
89,665,0.406258209164941
90,690,0.421531074171142
91,678,0.414200098968165
92,854,0.521721068611819
93,734,0.448411316582055
94,672,0.410534611366677
95,669,0.408701867565933
96,686,0.419087415770149
97,615,0.375712479152539
98,626,0.382432539755268
99,740,0.452076804183543
100,628,0.383654368955764
101,745,0.455131377184783
102,888,0.542492165020252
103,667,0.407480038365437
104,1236,0.755090445906567
105,1496,0.913928241971055
106,781,0.477124302793712
107,773,0.472236985991728
108,784,0.478957046594457
109,582,0.355552297344354
110,754,0.460629608587016
111,550,0.336003030136417
112,570,0.348221322141378
113,537,0.328061140333193
114,500,0.305457300124016
