DATE,FRANCIS_M,FRANCIS_F,KELLY_M,KELLY_F,LESLIE_M,LESLIE_F,TAYLOR_M,TAYLOR_F,RILEY_M,RILEY_F,CHRIS_M,CHRISTINE_F,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_M,CHRISTIANA_F,KRISTINA_F,KRIS_M
1915,0.5548996458087367,0.1652892561983471,0.0,0.0,0.3778040141676505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11806375442739078,0.0,0.0,0.0,0.0,0.0,0.0
1916,0.542814493146967,0.20355543493011263,0.0,0.0,0.4885330438322703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14927398561541594,0.0,0.0,0.0,0.0,0.0,0.0
1917,0.5517641934078699,0.1452011035283868,0.0,0.0,0.4646435312908378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1742413242340642,0.0,0.0,0.0,0.0,0.0,0.0
1918,0.629759812536614,0.2050380785002929,0.0,0.0,0.4100761570005858,0.0,0.0,0.0,0.0,0.0,0.0,0.07322788517867604,0.0,0.0,0.0,0.0,0.0,0.14645577035735208,0.0,0.0,0.0,0.0,0.0,0.0
1919,0.46025104602510464,0.0697350069735007,0.0,0.0,0.4044630404463041,0.0,0.0,0.0,0.0,0.0,0.0,0.0697350069735007,0.0,0.0,0.0,0.0,0.0,0.11157601115760112,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.4532811373235809,0.08241475224065108,0.0,0.0,0.267847944782116,0.051509220150406924,0.0,0.0,0.0,0.0,0.0,0.051509220150406924,0.0,0.0,0.0,0.0,0.0,0.15452766045122077,0.0,0.0,0.0,0.0,0.0,0.0
1921,0.49520272361497986,0.11348395749509955,0.0,0.0,0.33013514907665326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10316723408645415,0.0,0.0,0.0,0.0,0.0,0.0
1922,0.3966455122393473,0.09066183136899365,0.0,0.0,0.3966455122393473,0.0,0.0,0.0,0.0,0.0,0.0,0.05666364460562103,0.0,0.0,0.0,0.0,0.0,0.1359927470534905,0.0,0.0,0.0,0.0,0.0,0.0
1923,0.5277973258268824,0.11728829462819611,0.0,0.0,0.24630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055594651653765,0.0,0.0,0.0,0.0,0.0,0.0
1924,0.6870409855484482,0.14214641080312723,0.0,0.0,0.2606017531390666,0.0,0.0,0.0,0.0,0.0,0.0,0.07107320540156362,0.0,0.0,0.0,0.0,0.0,0.15399194503672115,0.0,0.0,0.0,0.0,0.0,0.0
1925,0.33437103655021333,0.08071025020177562,0.0,0.0,0.2997809293208809,0.0,0.0,0.0,0.0,0.0,0.0,0.12683039317421882,0.06918021445866482,0.0,0.0,0.0,0.0,0.14989046466044045,0.0,0.0,0.0,0.0,0.0,0.0
1926,0.3237798297157932,0.14390214654035255,0.0,0.0,0.3597553663508814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09593476436023504,0.0,0.0,0.0,0.0,0.0,0.0
1927,0.44615941155191124,0.09646689979500783,0.0,0.0,0.22910888701314364,0.0,0.0,0.0,0.0,0.0,0.0,0.0602918123718799,0.0,0.0,0.0,0.0,0.0,0.09646689979500783,0.0,0.0,0.0,0.0,0.0,0.0
1928,0.32399907428835917,0.11571395510298543,0.0,0.0,0.31242767877806066,0.0,0.0,0.0,0.0,0.0,0.0,0.10414255959268687,0.0,0.0,0.0,0.0,0.0,0.06942837306179125,0.0,0.0,0.0,0.0,0.0,0.0
1929,0.21821522912599056,0.0,0.0,0.0,0.25267026530377856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06891007235557597,0.0,0.0,0.0,0.0,0.06891007235557597,0.0,0.0,0.0,0.0,0.0,0.0
1930,0.2875788076540206,0.05530361685654242,0.0,0.0,0.2101537440548612,0.0,0.0,0.0,0.0,0.0,0.0,0.1327286804557018,0.0,0.0,0.0,0.0,0.0,0.0663643402278509,0.0,0.0,0.0,0.0,0.0,0.0
