Year,F,M
1915,30.874999999999996,43.1096196868009
1916,30.58265960412601,44.02432575356955
1917,31.092181320352907,41.77777777777778
1918,29.307715767002136,40.85657931811778
1919,29.206625980819528,42.39742558326628
1920,28.467309753483388,41.213804046013486
1921,29.18279569892473,43.20840769383303
1922,28.974845752254392,42.039045553145336
1923,28.402948402948404,42.0556552962298
1924,28.387416398315583,41.407491486946654
1925,27.201145311381538,42.48103525211959
1926,27.901109989909184,41.92
1927,27.111111111111107,40.278105114305916
1928,27.585405531024865,41.71468080202811
1929,27.303102625298326,41.11135709541731
1930,28.845708998380754,42.0517168291649
1931,29.0258449304175,42.392057261602396
1932,28.057186622415113,44.179957153058794
1933,29.860724233983287,41.97901049475262
1934,30.03791982665222,42.10399032648126
1935,30.468547760807663,41.698024459078084
1936,29.532525352461047,41.04938271604938
1937,27.586206896551722,42.98412698412699
1938,26.205583756345174,41.98645598194131
1939,26.70311185870479,40.63670411985019
1940,25.103622274283655,40.19252011993056
1941,25.85594315245478,40.54814814814815
1942,26.56044437947668,41.24920331421288
1943,26.977220373688247,41.11498257839721
1944,27.30423620025674,39.66544454628781
1945,27.23981900452489,39.18641750227895
1946,27.2669220945083,39.72214069073476
1947,28.19316039852796,39.415763068457686
1948,28.819157720891823,38.39249286005712
1949,28.25767401642888,37.492153170119266
1950,25.912091730368314,36.95221491401854
1951,24.583823776694132,36.097970395238825
1952,24.267613590509242,34.818881916714204
1953,23.23088455772114,34.765729585006696
1954,24.121626536698916,34.06195434262433
1955,23.00592368094779,33.944838056680155
1956,22.625662230262307,32.348385559394735
1957,21.622604899345138,31.3915857605178
1958,20.489078822412154,31.05002987669075
1959,20.524353435521096,30.001073191672027
1960,19.9420255560814,29.282352319001536
1961,18.84643644379133,29.315327331332668
1962,18.23732576785494,28.55858892259297
1963,18.271855755190145,29.123608335712248
1964,18.162321560217144,29.57788524688041
1965,18.5323472391757,29.123511134127394
1966,17.853643831486924,29.228397130790373
1967,16.779825412221143,28.312339246850883
1968,17.769083124169494,28.794051083090856
1969,17.392834518195254,27.770245285344508
1970,17.969878275221788,28.974616886574754
1971,18.140187606174756,28.5967242142541
1972,18.990153253868367,28.06654152372322
1973,19.10265125764786,27.839380618069676
1974,19.85386375378257,27.45571147374436
1975,19.61149738370009,28.057599594011666
1976,19.777530589543936,26.671727715569055
1977,19.484386347131448,27.709725315515964
1978,19.607704790799406,27.18215158924205
1979,20.803878004443547,27.068823043324286
1980,20.68721901091843,26.27621685793431
1981,21.271834400447563,26.24434389140271
1982,20.313730240445764,26.38008350085047
1983,21.44948318097628,25.598678777869527
1984,21.657988650324697,25.199152969648075
1985,21.553186333898715,24.329057847833926
1986,21.736708547378846,24.49790570293202
1987,21.838717819283193,23.09525098824931
1988,20.87608281624378,21.9507001011553
1989,19.50764415553148,20.381699346405227
1990,19.59008302850839,20.439095624150262
1991,18.67073743541569,19.95836718115353
1992,17.426226645713292,19.360089526425554
1993,16.904083570750238,18.572302048303268
1994,16.36514130306255,18.14284273176637
1995,14.873341375150783,16.81234984409344
1996,15.040000000000001,16.139942923581017
1997,15.496908267992604,16.859817249832847
1998,15.36368462967879,16.354788250970397
1999,15.145576707726766,15.856958004940596
2000,15.005057072677358,16.14480198019802
2001,14.65888361911711,15.756785292838957
2002,14.472896076669661,15.456821026282855
2003,14.64949293063883,15.016805123977422
2004,13.839820359281438,14.802568830673366
2005,13.482816736279036,14.08925956579869
2006,13.736742699404328,13.522798251093066
2007,13.573485008075274,13.020340586565753
2008,12.886313465783664,12.477247372438494
2009,13.22643934781138,12.76888659438995
2010,13.361857333239813,12.991240530303031
2011,13.291666666666666,12.721080305927341
2012,13.156609696546914,12.474729456534664
2013,12.657526658357565,12.848017355670724
2014,12.335582362161794,11.837352906909008
