Name,F,M,MIN,EXTRA_F,EXTRA_M
Rory,51,942,51,0,891
Erin,4578,52,52,4526,0
Lennon,74,52,52,22,0
Bryn,66,53,53,13,0
Eden,472,53,53,419,0
Emery,166,53,53,113,0
Shannon,5148,53,53,5095,0
Sukhman,57,100,57,0,43
Micah,59,769,59,0,710
Michele,1510,59,59,1451,0
Anmol,104,61,61,43,0
Sehaj,74,61,61,13,0
Shea,62,212,62,0,150
Ashton,63,1010,63,0,947
Darian,67,274,67,0,207
Jasdeep,67,178,67,0,111
Jaiden,68,256,68,0,188
London,217,68,68,149,0
Ravinder,68,187,68,0,119
Jade,1314,70,70,1244,0
Ryan,70,15145,70,0,15075
Manjot,101,71,71,30,0
Tyler,71,8657,71,0,8586
Navdeep,72,100,72,0,28
Gagandeep,73,118,73,0,45
Justice,73,169,73,0,96
Regan,77,97,77,0,20
Carey,78,194,78,0,116
Sasha,689,79,79,610,0
Drew,80,793,80,0,713
Leigh,220,81,81,139,0
Manpreet,240,89,89,151,0
Skyler,90,368,90,0,278
Alex,91,1628,91,0,1537
Stacy,573,94,94,479,0
Teagan,434,94,94,340,0
Sandy,298,97,97,201,0
Cameron,98,5262,98,0,5164
Harjot,104,131,104,0,27
Stacey,1690,104,104,1586,0
Finley,106,327,106,0,221
Logan,110,4278,110,0,4168
Reese,289,110,110,179,0
Lindsay,2823,117,117,2706,0
Jaden,120,899,120,0,779
Jan,121,285,121,0,164
Jaspreet,286,123,123,163,0
Jean,2584,123,123,2461,0
Sage,353,123,123,230,0
Sawyer,124,680,124,0,556
Dylan,126,5174,126,0,5048
Laurie,1940,132,132,1808,0
Tracy,3695,132,132,3563,0
Kelsey,2451,134,134,2317,0
Francis,138,1819,138,0,1681
Jackie,161,140,140,21,0
Shawn,143,4160,143,0,4017
Payton,617,149,149,468,0
Harpreet,266,154,154,112,0
River,154,334,154,0,180
Ashley,7010,157,157,6853,0
Parker,157,1275,157,0,1118
Blake,159,1928,159,0,1769
Emerson,160,276,160,0,116
Hunter,160,2084,160,0,1924
Jesse,161,4895,161,0,4734
Sandeep,279,162,162,117,0
Sydney,2333,172,172,2161,0
Peyton,693,188,188,505,0
Phoenix,189,299,189,0,110
Amrit,254,203,203,51,0
Sidney,210,588,210,0,378
Dallas,212,936,212,0,724
Hayden,215,1653,215,0,1438
Skylar,343,220,220,123,0
Gurpreet,225,285,225,0,60
Mandeep,262,244,244,18,0
Jessie,1286,248,248,1038,0
Jayden,250,2345,250,0,2095
Bailey,931,252,252,679,0
Amandeep,258,258,258,0,0
Lee,283,1346,283,0,1063
Dana,1601,336,336,1265,0
Darcy,337,1358,337,0,1021
Dale,339,2991,339,0,2652
Dakota,364,682,364,0,318
Charlie,373,674,373,0,301
Rowan,374,746,374,0,372
Casey,433,836,433,0,403
Jody,894,437,437,457,0
Kim,2129,462,462,1667,0
Devon,515,1613,515,0,1098
Avery,1658,549,549,1109,0
Quinn,649,1064,649,0,415
Mackenzie,2013,657,657,1356,0
Kerry,696,935,696,0,239
Terry,745,2665,745,0,1920
Riley,762,2857,762,0,2095
Jordan,1049,7560,1049,0,6511
Morgan,1729,1108,1108,621,0
Robin,1324,1834,1324,0,510
Jamie,1898,1839,1839,59,0
Kelly,4753,2061,2061,2692,0
Taylor,3542,2118,2118,1424,0
Leslie,2332,2190,2190,142,0
