DMC,Name,Hex,H,S,B
413,Pewter Grey (Dark),#2B3137,210,022,022
169,Pewter Grey,#818B92,205,012,057
168,Silver Grey,#C0CAD2,207,009,082
762,Pearl Grey (Very Light),#E8ECF0,210,003,094
BLNC,White,#FFFFFF,000,000,100
602,Cranberry (Medium),#DC4E7D,340,065,086
603,Cranberry,#EB759E,339,050,092
605,Cranberry (Very Light),#F1B3C2,345,026,095
150,Red (Bright),#97073B,338,095,059
3804,Cyclamen Pink (Dark),#D23675,336,074,082
3805,Cyclamen Pink,#ED518C,337,066,093
3806,Cyclamen Pink (Light),#FFB8D7,334,028,100
552,Violet (Medium),#7D368E,288,062,056
209,Lavender (Dark),#C89CDD,281,029,087
210,Lavender (Medium),#DBBBEB,280,020,092
333,Blue Violet (Very Dark),#614494,262,054,058
340,Blue Violet (Medium),#A4ABDD,233,026,087
809,Delft Blue,#9CB3D9,217,028,85
939,Blue (Very Dark),#101423,227,054,014
796,Royal Blue (Dark),#08114F,232,090,031
995,Electric Blue (Dark),#0086CF,201,100,081
996,Electric Blue (Medium),#48BBE8,197,069,091
3842,Wedgewood (Very Dark),#005694,205,100,058
517,Wedgewood (Dark),#0B6FB2,204,094,070
518,Wedgewood (Light),#2F99CC,199,077,080
519,Sky Blue,#6EC7E3,194,052,089
747,Sky Blue (Very Light),#A9EAEC,182,028,093
930,Antique Blue (Dark),#21516B,201,069,042
931,Antique Blue (Medium),#568AA6,201,048,065
827,Blue (Very Light),#ACDCE8,192,026,091
3812,Seagreen (Very Dark),#008F74,169,100,056
958,Seagreen (Dark),#00B39A,172,100,070
964,Seagreen (Light),#7EDDCD,170,043,087
3347,Yellow Green (Medium),#6F944E,092,047,058
3348,Yellow Green (Light),#C9DB86,073,039,086
726,Topaz (Light),#F7E83B,055,076,097
744,Yellow (Pale),#EDD266,048,057,093
677,Old Gold (Very Light),#F5F1AB,057,030,096
680,Old Gold (Dark),#B38C3B,040,067,070
783,Topaz (Medium),#BF861B,039,086,075
676,Old Gold (Light),#E4BC61,042,057,089
842,Beige Brown (Very Light),#C7BA9D,041,021,078
712,Cream,#F7EDD7,041,013,097
3371,Black Brown,#19130B,032,057,010
838,Beige Brown (Very Dark),#432E24,019,046,026
434,Brown (Light),#744819,031,078,045
435,Brown (Very Light),#945F27,031,074,058
436,Tan,#B8752E,031,075,072
738,Tan (Very Light),#F2E9BD,050,022,095
741,Tangerine (Medium),#FF7824,023,086,100
742,Tangerine (Light),#FAA525,036,085,098
815,Garnet (Med),#4F1927,345,068,031
498,Red (Dark),#691726,349,078,041
817,Coral Red (Very Dark),#8A1616,000,084,054
3326,Rose (Light),#FAB1BF,349,029,098
3770,Tawny (Very Light),#FDEBE5,015,009,099
3831,Raspberry (Dark),#8C2639,349,073,055
3832,Raspberry (Medium),#BE495A,351,062,075
3833,Raspberry (Light),#D8818B,353,040,085
