code,have,name,k
13,true,Nile Green MD LT,bff6e0
16,true,Chartreuse LT,a4d67b
19,true,Autumn Gold MD LT,f8c95f
21,true,Alizarian LT,d79982
22,true,Alizarian,bb5f4d
23,true,Apple Blossom,eee1ee
24,true,White Lavender,e0d6ee
25,true,Lavender UL LT,d9d3e9
26,true,Pale Lavender,cfc9df
150,true,Dusty Rose Ult Vy Dk,A8024A
151,false,Dusty Rose Vry Lt,F3C1CD
152,false,Shell Pink Med Light,E09A93
153,false,Violet Very Light,E3C6D5
154,true,Grape Very Dark,552332
155,false,Blue Violet Med Dark,948DB3
156,false,Blue Violet Med Lt,A5B0D1
157,false,Cornflower Blue Vy Lt,B7C4E4
158,true,Cornflower Blu M V D,403D6D
159,false,Blue Gray Light,C1C9D9
160,false,Blue Gray Medium,8293B3
161,false,Blue Gray,5C6694
162,false,Blue Ultra Very Light,C7E2EF
163,false,Celadon Green Md,559A6E
164,false,Forest Green Lt,B6D4A3
165,false,Moss Green Vy Lt,EFF39D
166,false,Moss Green Md Lt,CED129
167,false,Yellow Beige V Dk,AC8D3E
168,true,Pewter Very Light,C7CDCE
169,true,Pewter Light,7F8887
208,false,Lavender Very Dark,805988
209,true,Lavender Dark,A078A5
210,true,Lavender Medium,C09BC0
211,false,Lavender Light,E0C5E0
221,false,Shell Pink Vy Dk,9A3D43
223,false,Shell Pink Light,D58582
224,false,Shell Pink Very Light,E9B1A8
225,false,Shell Pink Ult Vy Lt,FFD7CE
300,false,Mahogany Vy Dk,6D2D00
301,false,Mahogany Med,AF5B2A
3011,false,Khaki Green Dk,6E783B
3012,false,Khaki Green Md,939857
3013,false,Khaki Green Lt,B7B77E
3021,true,Brown Gray Vy Dk,44452A
3022,false,Brown Gray Med,84835C
3023,false,Brown Gray Light,AEAB8A
3024,false,Brown Gray Vy Lt,D7D7C3
3031,false,Mocha Brown Vy Dk,473727
3032,false,Mocha Brown Med,AE9D78
3033,false,Mocha Brown Vy Lt,E0D4C3
304,false,Red Medium,B31E32
3041,false,Antique Violet Medium,937580
3042,false,Antique Violet Light,B499A4
3045,false,Yellow Beige Dk,C5AD66
3046,false,Yellow Beige Md,D9CDA3
3047,false,Yellow Beige Lt,E7E1B8
3051,false,Green Gray Dk,516132
3052,false,Green Gray Md,798855
3053,false,Green Gray,A4B583
3064,false,Desert Sand,CA9073
307,false,Lemon,FEE73D
3072,false,Beaver Gray Vy Lt,E3E7D9
3078,false,Golden Yellow Vy Lt,FAF6B7
309,false,Rose Dark,C9344D
310,true,Black,000000
311,false,Wedgewood Ult VyDk,064055
312,true,Baby Blue Very Dark,2E597C
315,false,Antique Mauve Md Dk,903E4E
316,false,Antique Mauve Med,B56F7C
317,false,Pewter Gray,575D61
318,false,Steel Gray Lt,9C9CA4
319,false,Pistachio Grn Vy Dk,236831
320,false,Pistachio Green Med,75BB71
321,false,Red,C32A3C
322,false,Baby Blue Dark,467194
326,false,Rose Very Dark,AF3A4A
327,false,Violet Dark,551346
3325,false,Baby Blue Light,A6C3D9
3326,true,Rose Light,F3949F
3328,false,Salmon Dark,CE3F54
333,true,Blue Violet Very Dark,604E87
334,false,Baby Blue Medium,5F8DA9
3340,false,Apricot Med,FA8155
3341,false,Apricot,FF9774
3345,true,Hunter Green Dk,2F6913
3346,false,Hunter Green,4B8835
3347,true,Yellow Green Med,76A451
3348,true,Yellow Green Lt,CEEB90
335,false,Rose,D64A5F
3350,false,Dusty Rose Ultra Dark,B84263
3354,false,Dusty Rose Light,EEA1B2
336,false,Navy Blue,0F3251
3362,false,Pine Green Dk,4A6332
3363,false,Pine Green Md,6E8D58
3364,false,Pine Green,9DB275
3371,true,Black Brown,3A2723
340,true,Blue Violet Medium,A4A4C4
341,false,Blue Violet Light,B8BFDC
347,false,Salmon Very Dark,BF2642
349,false,Coral Dark,C72E33
350,false,Coral Medium,D64542
351,false,Coral,DE605E
352,false,Coral Light,EA8079
353,false,Peach,F2A898
355,false,Terra Cotta Dark,A5463C
356,false,Terra Cotta Med,D37863
3607,true,Plum Light,D25292
3608,true,Plum Very Light,E67DAC
3609,false,Plum Ultra Light,FFAACF
367,false,Pistachio Green Dk,4B924B
368,false,Pistachio Green Lt,AAD99F
3685,false,Mauve Very Dark,851531
3687,false,Mauve,C65375
3688,false,Mauve Medium,E890AC
3689,false,Mauve Light,FDBACE
369,false,Pistachio Green Vy Lt,D2EBC5
370,false,Mustard Medium,AE9B54
3705,false,Melon Dark,F75156
3706,false,Melon Medium,FF7F8C
3708,false,Melon Light,FFA2B0
371,false,Mustard,B7A765
3712,false,Salmon Medium,DA6270
3713,false,Salmon Very Light,FFD5D5
3716,false,Dusty Rose Med Vy Lt,F6A7B4
372,false,Mustard Lt,C1BA7E
3721,false,Shell Pink Dark,AC4A52
3722,false,Shell Pink Med,C16363
3726,false,Antique Mauve Dark,A45561
3727,false,Antique Mauve Light,C98C97
3731,false,Dusty Rose Very Dark,D96280
3733,false,Dusty Rose,E78197
3740,false,Antique Violet Dark,765561
3743,false,Antique Violet Vy Lt,D3C6CF
3746,false,Blue Violet Dark,746896
3747,false,Blue Violet Vy Lt,CDD2EA
3750,false,Antique Blue Very Dk,1B3E49
3752,false,Antique Blue Very Lt,9AB3CD
3753,false,Antique Blue Ult Vy Lt,CDDBE8
3755,false,Baby Blue,83A4C1
3756,false,Baby Blue Ult Vy Lt,E7F9F9
3760,false,Wedgewood Med,3D839F
3761,false,Sky Blue Light,9DD5DD
3765,false,Peacock Blue Vy Dk,17616D
3766,false,Peacock Blue Light,9ACDCD
3768,false,Gray Green Dark,528779
3770,true,Tawny Vy Light,FFF3E1
3771,false,Terra Cotta Ult Vy Lt,F3B5A2
3772,false,Desert Sand Vy Dk,AA7959
3773,false,Desert Sand Dark,BB8871
3774,false,Desert Sand Vy Lt,F1DBD0
3776,false,Mahogany Light,CE7535
3777,false,Terra Cotta Vy Dk,8E3230
3778,false,Terra Cotta Light,DA8E7F
3779,false,Rosewood Ult Vy Lt,EFBDBA
3781,false,Mocha Brown Dk,574D2A
3782,false,Mocha Brown Lt,CABCA3
3787,false,Brown Gray Dark,656040
3790,false,Beige Gray Ult Dk,776847
3799,false,Pewter Gray Vy Dk,2B2C2F
3801,false,Melon Very Dark,F03646
3802,false,Antique Mauve Vy Dk,7C2A40
3803,false,Mauve Dark,A83255
3804,true,Cyclamen Pink Dark,E6367C
3805,true,Cyclamen Pink,F34188
3806,true,Cyclamen Pink Light,FD75A9
3807,true,Cornflower Blue,5B648F
3808,false,Turquoise Ult Vy Dk,0B525D
